id,source,title,venue_raw,venue_key,venue_name,address,lat,lng,start_date,end_date,price,url,thumbnail,status,collected_at
c86ab895d64a,sema,난지미술창작스튜디오 20주년 기념전 《사랑의 기원》,서울시립미술관 서소문본관,seosomun,서울시립미술관 서소문본관,서울 중구 덕수궁길 61,37.5641,126.9737,2026-04-30,2026-09-06,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1005949,active,2026-05-11T11:52:18Z
8008de7d4c8b,sema,《우리의 시간은 여기서부터》 - <태각(胎刻)>,서울시립 서서울미술관,seoseoul,서울시립 서서울미술관,서울 금천구 시흥대로73길 70,37.4581,126.8959,2026-04-28,2026-07-12,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1008497,active,2026-05-11T11:52:18Z
8c6b5f69a49f,sema,"《글짓, 쓰는 예술》",서울시립 북서울미술관,bukseoul,서울시립 북서울미술관,서울 노원구 동일로 1238,37.6452,127.0734,2026-04-23,2026-07-12,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1005466,active,2026-05-11T11:52:18Z
d6dbc9d86014,sema,가나아트컬렉션 《기술의 저변: 경계에 선 장면들》,서울시립미술관 서소문본관,seosomun,서울시립미술관 서소문본관,서울 중구 덕수궁길 61,37.5641,126.9737,2026-04-16,2026-11-22,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1003842,active,2026-05-11T11:52:18Z
aa76ea7574ec,sema,자치구 협력전시 《SeMA Collection: 청록미로》,충무아트센터 갤러리(서울 중구 퇴계로 287),unknown,충무아트센터 갤러리(서울 중구 퇴계로 287),,,,2026-04-15,2026-05-17,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1007664,active,2026-05-11T11:52:18Z
779bcfd909a3,sema,2026 서울사진축제 《컴백홈》,서울시립 사진미술관,photosema,서울시립 사진미술관,서울 도봉구 마들로13길 68,37.6612,127.0432,2026-04-09,2026-06-14,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1006054,active,2026-05-11T11:52:18Z
c847215907a1,sema,유휴공간 프로젝트 전시 《몸을 위한 간주곡 ― 소목장세미》,서울시립 북서울미술관,bukseoul,서울시립 북서울미술관,서울 노원구 동일로 1238,37.6452,127.0734,2026-04-02,2027-05-30,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1003457,active,2026-05-11T11:52:18Z
223f1a5b6923,sema,알렉사에게,서울시립 미술아카이브,art_archive,서울시립 미술아카이브,서울 종로구 평창문화로 101,37.6097,126.9742,2026-03-26,2026-07-26,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1005102,active,2026-05-11T11:52:18Z
cd7578bb2c1d,sema,포토 디스커버리 프로젝트 《사진집》,서울시립 사진미술관,photosema,서울시립 사진미술관,서울 도봉구 마들로13길 68,37.6612,127.0432,2026-03-18,2026-06-14,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1003198,active,2026-05-11T11:52:18Z
2f365f2796a0,sema,SeMA 프로젝트V_얄루,서울시립 서서울미술관,seoseoul,서울시립 서서울미술관,서울 금천구 시흥대로73길 70,37.4581,126.8959,2026-03-12,2026-07-26,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1008938,active,2026-05-11T11:52:18Z
4a22ea484b12,sema,서서울미술관 개관특별전 《우리의 시간은 여기서부터》,서울시립 서서울미술관,seoseoul,서울시립 서서울미술관,서울 금천구 시흥대로73길 70,37.4581,126.8959,2026-03-12,2026-07-12,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1008224,active,2026-05-11T11:52:18Z
c183b205b058,sema,유휴공간 전시 《지구울림 ― 헤르츠앤도우》,서울시립 북서울미술관,bukseoul,서울시립 북서울미술관,서울 노원구 동일로 1238,37.6452,127.0734,2025-09-02,2026-05-31,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=974127,active,2026-05-11T11:52:18Z
46fcf986eb53,sema,2026년 한국 근대 거장전 《유영국: 산은 내 안에 있다》,서울시립미술관 서소문본관,seosomun,서울시립미술관 서소문본관,서울 중구 덕수궁길 61,37.5641,126.9737,2026-05-19,2026-10-25,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1007678,upcoming,2026-05-11T11:52:22Z
cf57d344c0c1,sema,서울시립 서서울미술관 개관 특별 미디어 소장품전 《서서울의 투명한 |청소년| 기계》,서울시립 서서울미술관,seoseoul,서울시립 서서울미술관,서울 금천구 시흥대로73길 70,37.4581,126.8959,2026-05-14,2026-07-26,무료,,https://sema.seoul.go.kr/common/imgFileView?FILE_ID=1008266,upcoming,2026-05-11T11:52:22Z
